,City,Country,Latitude,Longitude,Temperature-Max-Farenheit,Humidity-Percentage,Cloudiness-Percentage,Wind-Speed
33,Albany,US,42.6,-73.97,51.78,85,100,3.96
34,Arman',RU,59.7,150.17,30.29,84,0,2.33
35,San,ML,13.3,-4.9,96.76,31,28,1.41
36,Oranjemund,NA,-28.55,16.43,69.31,53,0,16.42
37,Tougan,BF,13.07,-3.07,97.03,31,4,2.21
38,Cidreira,BR,-30.18,-50.21,67.32,70,51,13.98
39,Honiara,SB,-9.43,159.95,77.0,94,20,2.24
40,Ribeira,ES,42.75,-8.44,60.57,54,20,10.29
41,Esna,EG,25.29,32.55,100.4,25,0,4.7
42,Sola,VU,-13.88,167.55,80.19,81,30,6.58
43,Chui,UY,-33.7,-53.46,65.07,73,52,10.0
44,Carnarvon,AU,-24.87,113.63,69.8,83,0,26.4
45,Ténenkou,ML,14.46,-4.92,97.79,24,66,3.83
46,Santa,PH,17.49,120.43,79.43,82,89,4.85
47,Mar,ES,43.4,-4.01,59.11,58,75,2.24
48,Nikolskoye,RU,59.7,30.79,42.58,60,75,11.18
49,Verāval,IN,20.9,70.37,87.93,68,99,13.73
50,Pokhara,NP,28.23,83.98,72.39,72,5,3.0
51,Punta,PH,8.99,125.34,77.72,84,97,3.91
52,Sorong,ID,-0.88,131.25,77.56,89,100,4.41
53,Port,CD,-7.03,29.76,85.48,38,3,4.52
54,Haines,US,59.23,-135.44,39.2,80,1,12.75
55,Roncade,IT,45.63,12.37,61.38,48,90,4.7
56,Severo-Kuril'sk,RU,50.68,156.12,41.77,73,58,23.0
57,Bhaderwah,IN,32.98,75.72,66.13,39,0,2.91
58,Xinzhi,CN,36.5,111.7,55.85,34,0,6.26
59,Campbell,US,38.95,-84.38,39.63,86,1,3.13
60,Kapaa,US,22.08,-159.32,72.59,100,90,5.82
61,Tsimmerbude,RU,54.67,20.13,51.58,71,40,11.18
62,Port,CD,-7.03,29.76,85.37,37,4,4.45
63,Peniche,PT,39.36,-9.38,67.53,68,46,5.01
64,Bredasdorp,ZA,-34.53,20.04,73.4,60,50,18.34
65,Westport,US,41.14,-73.36,63.14,93,90,8.05
66,Aiken,US,33.58,-81.6,69.3,94,90,3.36
67,Varlamovo,RU,53.19,48.42,62.67,39,100,11.03
68,Busselton,AU,-33.65,115.33,56.57,49,0,15.66
69,Saint Paul Harbor,US,57.79,-152.41,35.6,74,1,3.36
70,Hofn,IS,64.25,-15.21,46.4,81,28,2.24
71,Constitución,CL,-35.33,-72.42,55.72,81,2,10.65
72,Yellowknife,CA,62.46,-114.35,24.46,73,90,16.11
73,Mataura,NZ,-46.19,168.86,44.01,80,98,1.41
74,Taoudenni,ML,22.68,-3.98,102.04,10,6,13.31
75,El Puerto de Santa María,ES,36.59,-6.23,71.29,60,1,8.05
76,Mys,RU,62.06,48.62,35.62,84,96,8.23
77,Sittwe,MM,20.15,92.9,84.2,81,28,8.1
78,Grand,US,38.88,-109.5,37.4,27,1,4.9
79,Shelburne,CA,44.08,-80.2,36.57,93,40,4.7
80,Grand,US,38.88,-109.5,37.4,27,1,4.9
81,Hobart,AU,-42.88,147.33,44.19,65,61,8.05
82,Vestmannaeyjar,IS,63.44,-20.27,48.2,61,40,8.05
83,Salalah,OM,17.02,54.09,86.0,58,0,11.41
84,Paamiut,GL,61.99,-49.67,42.67,78,98,29.51
85,San,ML,13.3,-4.9,96.51,32,42,0.63
86,Tagusao,PH,9.19,117.81,76.51,88,100,6.89
87,Sioux,US,42.73,-96.23,34.52,78,1,4.7
88,Mount,GB,53.66,-1.85,52.11,77,73,1.99
89,Pochutla,MX,15.74,-96.47,74.59,83,40,3.85
90,Cherskiy,RU,68.75,161.3,27.39,94,10,3.56
91,Tautira,PF,-17.73,-149.15,77.0,83,100,12.75
92,George Town,MY,5.41,100.34,83.25,74,20,5.82
93,Santa,PH,17.49,120.43,79.43,82,89,4.85
94,Longyearbyen,SJ,78.22,15.64,24.8,68,40,19.46
95,Lakes,US,61.61,-149.31,28.27,92,1,1.14
96,East,IS,65.0,-15.0,39.2,58,50,3.47
97,Pindwāra,IN,24.8,73.07,86.5,55,79,6.24
98,Pyn U Lwin,MM,22.03,96.47,93.2,56,75,5.82
99,Talnakh,RU,69.49,88.4,23.0,92,40,8.95
100,Tupik,RU,54.43,119.93,31.78,96,100,5.37
101,Esperance,AU,-33.87,121.9,53.6,81,3,6.93
102,Praia,CV,14.92,-23.51,87.8,66,20,9.17
103,Assiut,EG,27.18,31.18,91.4,29,0,16.11
104,Flin,FR,48.5,6.66,50.02,76,90,11.41
105,Warman,CA,52.32,-106.57,10.4,85,5,9.17
106,Nipawin,CA,53.37,-104.0,23.0,62,90,6.93
107,Thinadhoo,MV,0.53,72.93,83.91,76,100,20.07
108,College,US,64.86,-147.8,8.22,71,20,3.36
109,Mehamn,NO,71.04,27.85,33.8,83,75,4.7
110,Yumen,CN,40.28,97.2,39.69,59,0,2.04
111,Bilma,NE,18.69,12.92,102.61,9,0,6.11
112,New,LR,6.65,-10.59,86.97,62,78,3.94
113,Udachny,RU,66.42,112.4,12.2,78,0,6.71
114,Cabedelo,BR,-6.98,-34.83,82.4,65,40,11.41
115,Qaanaaq,GL,77.48,-69.36,23.25,81,0,7.29
116,Savé,BJ,8.04,2.49,89.24,60,35,2.73
117,Jamestown,US,42.1,-79.24,41.38,93,90,4.7
118,Saldanha,ZA,-33.01,17.94,80.6,49,10,11.41
119,Bethel,US,41.37,-73.41,59.58,82,90,3.36
120,Hithadhoo,MV,-0.6,73.08,83.57,73,81,21.07
121,Vitré,FR,48.12,-1.21,54.43,76,90,5.82
122,Faanui,PF,-16.48,-151.75,78.51,80,28,9.46
123,Zavetnoye,RU,47.12,43.89,78.24,34,20,5.21
124,Somerset,US,40.57,-74.55,59.27,72,90,8.05
125,Porto,PT,41.15,-8.61,64.38,51,37,6.93
126,Kismayo,SO,-0.36,42.55,82.96,65,2,17.27
127,Aktau,KZ,43.65,51.2,73.4,18,36,15.66
128,Hong Kong,HK,22.29,114.16,76.8,78,47,16.22
129,Port,CD,-7.03,29.76,85.48,38,3,4.52
130,Zhigansk,RU,66.77,123.37,21.9,96,100,10.87
131,Norman,US,35.22,-97.44,42.53,70,1,3.36
132,Kiri,IN,30.92,75.51,86.49,17,0,0.83
133,Kaitangata,NZ,-46.28,169.85,45.0,80,93,3.0
134,Kruisfontein,ZA,-34.0,24.73,77.0,58,42,8.01
135,Kloulklubed,PW,7.04,134.26,77.0,94,75,5.95
136,Viedma,AR,-40.81,-63.0,73.0,55,0,5.99
137,Avarua,CK,-21.21,-159.78,69.8,77,71,2.24
138,Armação,BR,-27.75,-48.51,71.2,77,75,8.05
139,Coquimbo,CL,-29.95,-71.34,53.6,93,90,9.17
140,Lebu,CL,-37.62,-73.65,53.73,83,0,5.57
141,Drayton,AU,-27.58,151.92,69.8,46,56,11.41
142,Ostrovnoy,RU,68.05,39.51,36.9,79,100,20.94
143,Suso,PH,17.36,120.46,79.09,83,91,3.53
144,Saskylakh,RU,71.92,114.08,11.84,95,86,3.42
145,Makkah al Mukarramah,SA,21.43,39.83,103.64,7,0,1.57
146,Bairiki Village,KI,1.33,172.98,80.6,78,20,9.17
147,Markova,UA,48.68,24.41,49.12,100,75,4.47
148,Parkes,AU,-33.13,148.18,71.01,44,95,5.01
149,Mount,GB,53.66,-1.85,52.11,77,73,1.99
150,Vanimo,PG,-2.67,141.3,76.53,90,100,8.25
151,Shawville,CA,45.6,-76.48,48.69,94,100,3.38
152,Tuatapere,NZ,-46.13,167.68,44.01,80,98,0.47
153,Olafsvik,IS,64.89,-23.71,46.65,78,41,1.81
154,Roebourne,AU,-20.78,117.13,77.25,38,0,18.1
155,Poum,NC,-20.23,164.02,73.08,80,43,6.4
156,Butaritari,KI,3.07,172.79,82.33,74,41,14.47
157,Derzhavīnsk,KZ,51.1,66.32,62.11,31,94,11.97
158,Bambous,MU,-20.26,57.41,79.77,61,20,11.41
159,Karwar,IN,14.8,74.13,79.65,84,54,10.09
160,Nishihara,JP,26.18,127.76,78.35,65,75,9.17
161,Prainha,BR,-1.8,-53.48,84.27,61,8,4.9
162,Touros,BR,-5.2,-35.46,82.4,69,75,10.29
163,Pevek,RU,69.7,170.31,37.51,86,100,13.2
164,Berlevåg,NO,70.86,29.09,33.17,80,75,4.7
165,Amalāpuram,IN,16.58,82.02,84.2,79,90,6.93
166,Ambon City,ID,-3.7,128.18,79.0,14,98,10.65
167,Mahébourg,MU,-20.41,57.7,80.6,61,20,11.41
168,Dingle,PH,11.0,122.67,77.38,87,100,0.58
169,Santa,PH,17.49,120.43,79.43,82,89,4.85
170,Caravelas,BR,-17.71,-39.25,77.56,84,88,5.03
171,Wufeng,CN,27.45,104.83,40.66,100,100,2.28
172,Bengkulu,ID,-3.8,102.27,79.25,84,92,5.53
173,Bakewar,IN,26.67,79.18,89.28,33,0,5.12
174,Okotoks,CA,50.73,-113.98,29.66,88,100,3.36
175,Tiksi,RU,71.69,128.87,20.84,97,84,4.92
176,Isangel,VU,-19.55,169.27,69.67,82,99,19.35
177,Hobyo,SO,5.35,48.53,82.87,72,9,21.32
178,Sandwick,GB,60.0,-1.25,48.2,87,75,12.75
179,Hermanus,ZA,-34.42,19.23,81.0,47,47,5.99
180,Pitsunda,GE,43.16,40.34,72.0,64,0,11.18
181,Kavaratti,IN,10.57,72.64,81.95,77,3,17.69
182,Aykhal,RU,66.0,111.5,12.2,78,0,6.71
183,Khatanga,RU,71.97,102.5,-1.17,92,26,4.52
184,Barrow,US,71.29,-156.79,17.6,78,75,17.22
185,Iqaluit,CA,63.75,-68.51,33.4,100,90,5.82
186,Nieuwpoort,BE,51.12,2.77,52.23,54,75,12.75
187,León,MX,21.12,-101.67,53.6,62,5,9.4
188,Ishinomaki,JP,38.42,141.3,55.4,76,75,3.36
189,Dhidhdhoo,MV,6.88,73.1,82.22,76,98,17.52
190,Dawlatabad,AF,36.41,64.91,72.32,20,0,8.43
191,Itarema,BR,-2.92,-39.92,86.36,57,40,16.75
192,Dwārka,IN,22.24,68.97,93.72,47,73,17.0
193,Aklavik,CA,68.22,-135.01,19.4,92,90,8.05
194,Grand-Santi,GF,4.25,-54.38,81.41,61,10,3.74
195,Avera,US,33.19,-82.53,62.74,94,1,3.36
196,Morondava,MG,-20.28,44.28,81.36,70,24,13.67
197,Sakakah,SA,29.97,40.21,87.8,14,0,4.7
198,Kodinsk,RU,58.69,99.18,28.9,95,99,6.78
199,Grindavik,IS,63.84,-22.43,48.2,81,90,3.36
200,Sao,IN,20.51,76.21,80.04,77,78,5.86
201,Tianpeng,CN,30.99,103.94,67.44,1,45,5.82
202,Blagoyevo,RU,63.37,47.92,34.81,86,98,10.83
203,Klaksvík,FO,62.23,-6.59,44.6,81,91,1.12
204,Benjamin,US,40.1,-111.73,38.01,55,1,4.7
205,Shingū,JP,33.73,135.98,63.79,79,95,5.19
206,Yakima,US,46.47,-120.67,39.07,57,1,5.82
207,Princeton,US,25.54,-80.41,78.4,94,1,3.36
208,Gudibanda,IN,13.67,77.7,80.6,61,40,6.93
209,Wanning,CN,18.8,110.4,78.66,88,100,21.18
210,Coyhaique,CL,-45.58,-72.07,50.0,76,40,8.05
211,Dudinka,RU,69.41,86.18,23.0,92,40,8.95
212,Jérémie,HT,18.65,-74.12,81.27,72,1,3.36
213,Ducheng,CN,23.24,111.53,70.48,77,69,4.32
214,San,ML,13.3,-4.9,96.51,32,42,0.63
215,Lüderitz,NA,-26.65,15.16,69.31,55,0,8.84
216,Kathmandu,NP,27.72,85.32,75.2,69,20,8.05
217,Lompoc,US,34.64,-120.46,58.21,71,1,3.36
218,Al Bardīyah,LY,31.76,25.09,86.4,34,54,4.03
219,Ginir,ET,7.13,40.7,70.36,63,35,8.48
220,Ahipara,NZ,-35.17,173.17,49.57,84,7,1.77
221,Timrå,SE,62.49,17.33,48.78,66,89,10.29
222,Province of Mantua,IT,45.17,10.78,59.7,74,97,5.99
223,Kosice,SK,48.67,21.33,48.11,93,90,9.17
224,Nokaneng,BW,-19.67,22.27,99.36,9,8,12.66
225,Kumul,CN,42.8,93.45,51.12,36,0,9.08
226,Rincon,US,32.3,-81.24,69.22,100,90,3.36
227,Hasaki,JP,35.73,140.83,59.29,77,75,11.41
228,Pimenta,BR,-20.48,-45.8,71.47,74,93,6.53
229,Arraial,BR,-22.84,-46.65,65.77,77,20,9.17
230,Jiangyou,CN,31.77,104.72,61.29,64,52,4.79
231,Coihueco,CL,-36.62,-71.83,48.2,100,0,3.36
232,Hearst,CA,49.68,-83.67,28.02,95,4,5.79
233,Salisbury,GB,51.07,-1.8,55.04,62,40,9.17
234,Port,CD,-7.03,29.76,85.48,38,3,4.52
235,Yenagoa,NG,4.92,6.26,84.07,76,64,4.88
236,Portland,US,45.52,-122.68,45.14,81,75,1.12
237,Tver',RU,56.86,35.89,42.22,70,97,7.83
238,Charters,US,38.57,-83.43,39.09,100,1,6.93
239,Chara,RU,56.91,118.26,29.44,91,75,2.24
240,Zyryanka,RU,65.75,150.85,25.56,98,100,18.5
241,Taywarah,AF,33.35,64.42,54.84,26,0,7.45
242,Clyde,US,41.3,-82.98,38.23,93,45,4.72
243,Sangmélima,CM,2.93,11.98,81.18,63,94,4.45
244,Mocuba,MZ,-16.84,36.99,90.72,35,62,5.32
245,Vigrestad,NO,58.57,5.7,54.36,70,0,4.0
246,Nanyuki,KE,0.02,37.07,74.34,43,44,2.44
247,Kununurra,AU,-15.77,128.73,86.0,62,20,11.41
248,Vardø,NO,70.37,31.11,35.6,80,40,9.17
249,Katsuura,JP,35.13,140.3,62.15,72,75,17.22
250,Tibati,CM,6.47,12.63,79.12,75,72,3.22
251,Husavik,IS,66.04,-17.34,32.0,61,75,4.7
252,Souillac,MU,-20.52,57.52,80.6,61,20,11.41
253,Sitka,US,57.05,-135.33,46.4,65,40,5.82
254,Ulkan,RU,57.24,107.32,25.59,93,87,6.58
255,Yakovlevka,RU,44.42,133.48,40.53,91,83,3.02
256,Kaifeng,CN,34.79,114.35,55.4,82,27,4.56
257,Cayenne,GF,4.93,-52.33,84.2,70,20,5.82
258,Pastos,PR,18.12,-66.26,79.56,92,14,1.01
259,Arlit,NE,18.74,7.39,102.13,8,0,2.35
260,Yulara,AU,-25.24,130.99,89.6,15,0,10.29
261,Fairbanks,US,64.84,-147.72,7.05,84,1,2.17
262,Acaraú,BR,-2.89,-40.12,86.41,57,52,16.33
263,Jinchang,CN,38.5,102.17,48.31,45,0,5.95
264,Nālūt,LY,30.33,10.85,94.6,10,76,10.4
265,Codrington,AU,-38.27,141.97,52.97,95,97,5.46
266,Oudtshoorn,ZA,-33.59,22.2,69.8,68,24,11.41
267,Chicama,PE,-7.84,-79.15,63.7,81,83,3.85
268,Kirakira,SB,-10.45,161.92,79.95,76,22,3.29
269,Linjiang,CN,41.81,126.91,36.48,80,11,1.52
270,Broome,US,42.25,-75.83,45.84,100,90,3.36
271,Caceres,ES,39.52,-6.37,64.99,38,2,1.01
272,High,US,33.61,-95.75,45.66,86,53,6.73
273,Cabo,BR,-8.28,-35.03,82.4,69,40,10.29
274,Artyom,AZ,40.47,50.33,71.6,56,0,16.11
275,Sao,IN,20.51,76.21,80.04,77,78,5.86
276,Alta,NO,69.97,23.27,36.77,93,90,9.17
277,Strășeni,MD,47.14,28.61,69.8,64,76,5.82
278,Yerbogachën,RU,61.28,108.01,25.86,93,100,11.9
279,Vangaindrano,MG,-23.35,47.6,79.38,72,60,8.55
280,Uberlândia,BR,-18.92,-48.28,76.05,64,90,3.89
281,Tessalit,ML,20.2,1.01,99.82,9,0,3.4
282,Daru,PG,-9.08,143.21,77.94,75,100,12.59
283,Martapura,ID,-3.42,114.85,78.8,100,90,2.24
284,Hereford,GB,52.06,-2.71,52.02,83,49,6.98
285,Alamosa,US,37.47,-105.87,24.8,58,1,5.82
286,Brownwood,US,31.71,-98.99,51.8,45,90,13.53
287,Jieshi,CN,22.81,115.83,77.22,78,52,19.62
288,Maniitsoq,GL,65.42,-52.9,40.86,87,100,20.71
289,Caucaia,BR,-3.74,-38.65,83.41,58,75,18.34
290,Bajil,YE,15.06,43.29,96.22,37,1,16.49
291,Lata,PT,40.16,-8.33,70.36,41,23,1.99
292,Ponta,PT,38.73,-28.27,71.6,68,20,16.11
293,Mtambile,TZ,-5.38,39.7,82.2,65,12,11.41
294,Tambopata,PE,-12.73,-69.18,73.54,94,66,3.18
295,Khasan,RU,42.43,130.64,48.85,68,72,9.15
296,Upernavik,GL,72.79,-56.15,35.46,78,98,4.14
297,Pisco,PE,-13.7,-76.22,62.35,88,40,10.29
298,Kpandae,GH,8.47,-0.01,87.24,62,98,3.91
299,Saint-Philippe,RE,-21.36,55.77,71.31,61,20,6.93
300,Kindu,CD,-2.95,25.95,82.06,79,88,1.23
301,Vostok,RU,46.49,135.88,26.29,92,0,5.39
302,Basco,PH,20.45,121.97,81.81,81,35,23.69
303,Cedar,US,41.21,-92.53,38.12,64,90,5.82
304,Narsaq,GL,60.92,-46.05,53.6,32,75,16.11
305,Naryan-Mar,RU,67.67,53.09,31.23,93,100,2.64
306,Iralaya,HN,15.0,-83.23,79.97,82,100,5.61
307,Agua,IT,45.74,8.32,56.43,75,53,1.01
308,Bilibino,RU,68.05,166.44,23.52,94,42,2.1
309,Gillette,US,44.29,-105.5,29.57,74,1,10.29
310,Tam,NE,13.13,12.14,101.44,16,2,6.98
311,Chhabra,IN,24.67,76.83,86.52,57,89,7.81
312,Meulaboh,ID,4.14,96.13,79.88,82,100,1.97
313,Ballina,AU,-28.87,153.57,61.93,93,12,5.66
314,Fortuna,US,40.6,-124.16,50.0,87,1,9.17
315,Geraldton,AU,-28.77,114.6,66.2,77,60,21.92
316,San,ML,13.3,-4.9,96.51,32,42,0.63
317,Ancud,CL,-41.87,-73.82,47.23,100,5,4.7
318,Shuangcheng,CN,45.35,126.28,38.82,69,0,4.47
319,Waddān,LY,29.16,16.14,100.8,9,36,17.76
320,Shirokiy,RU,49.76,129.52,33.01,85,12,9.26
321,Shanghai,CN,31.22,121.46,59.88,93,20,11.18
322,Laas,IT,46.62,10.7,51.12,75,40,8.05
323,Cockburn,AU,-32.08,141.0,69.8,56,40,11.41
324,Mana,GF,5.66,-53.78,81.45,71,70,8.48
325,Krasnosel'kup,RU,65.7,82.47,29.14,99,100,10.65
326,Bintulu,MY,3.17,113.03,77.0,94,40,2.24
327,Mutoko,ZW,-17.4,32.23,83.14,20,0,8.84
328,Uspenka,UA,48.39,39.16,74.28,35,53,10.33
329,Airai,TL,-8.93,125.41,62.64,93,91,0.34
330,San,ML,13.3,-4.9,96.51,32,42,0.63
331,Languyan,PH,5.26,120.08,79.23,80,100,5.82
332,Panzhihua,CN,26.59,101.71,63.14,80,100,3.71
333,Hegang,CN,47.4,130.37,35.6,83,11,6.93
334,Safi,MA,32.3,-9.24,66.51,60,76,12.1
335,Puyo,EC,-1.47,-77.98,66.31,92,100,1.48
336,Dharampuri,IN,22.17,75.35,89.01,59,66,7.4
337,Vila,PT,42.03,-8.16,61.0,52,29,5.01
338,Guye,CN,39.73,118.42,54.55,35,0,4.99
339,Tura,IN,25.52,90.22,76.86,92,17,2.75
340,Rawalpindi,PK,33.6,73.07,82.76,28,0,4.7
341,Rio,GR,38.3,21.78,78.55,58,40,11.41
342,Madang,PG,-5.22,145.8,78.6,87,100,5.1
343,Buala,SB,-8.14,159.59,81.41,80,82,6.62
344,Giohar,SO,2.78,45.5,87.46,53,64,17.76
345,Okato,NZ,-39.2,173.88,39.99,74,67,5.01
346,Smoky,US,38.65,-76.65,54.14,97,89,1.01
347,Caibarién,CU,22.52,-79.47,73.4,100,20,1.12
348,Boguchany,RU,58.38,97.45,28.63,95,98,6.69
349,Solikamsk,RU,59.62,56.77,37.42,79,100,13.35
350,Labuhan,ID,-6.88,112.21,82.87,70,29,6.08
351,Havre-St-Pierre,CA,50.23,-63.6,44.6,93,40,6.93
352,High,US,33.61,-95.75,45.66,86,53,6.73
353,Dalbandin,PK,28.89,64.41,79.99,12,0,7.07
354,Örnsköldsvik,SE,63.29,18.72,46.4,75,15,9.17
355,Port,CD,-7.03,29.76,85.48,38,3,4.52
356,Anadyr,RU,64.75,177.48,39.09,86,30,13.42
357,Yar-Sale,RU,66.83,70.83,31.57,98,100,14.94
358,Selma,US,36.57,-119.61,59.04,63,75,2.48
359,Athabasca,CA,54.72,-113.29,26.19,89,100,1.92
360,Muisne,EC,0.6,-80.03,74.91,88,100,12.62
361,Ransang,PH,8.96,117.58,76.32,88,100,7.23
362,Mayahi,NE,13.96,7.67,98.01,19,12,1.39
363,Cumberland,US,35.05,-78.87,68.58,94,90,4.7
364,Ushirombo,TZ,-3.49,31.96,83.52,39,57,7.2
365,Rio,GR,38.3,21.78,78.55,58,40,11.41
366,Iranshahr,IR,27.2,60.68,89.6,5,0,6.93
367,Kyra,RU,49.58,111.98,35.49,82,95,8.1
368,Chinchani,IN,19.87,72.7,83.01,82,76,15.73
369,Suntar,RU,62.14,117.63,23.04,87,18,11.54
370,Loncoche,CL,-39.37,-72.63,43.7,100,0,2.24
371,Freeport,US,40.66,-73.58,62.91,87,90,10.29
372,Alofi,NU,-19.06,-169.92,75.2,88,82,8.05
373,San,ML,13.3,-4.9,96.51,32,42,0.63
374,Juba,SS,4.85,31.58,93.67,39,31,5.41
375,Lidköping,SE,58.51,13.16,49.12,76,40,11.41
376,Soe,ID,-9.86,124.28,68.13,81,99,2.77
377,Shimoda,JP,34.67,138.95,59.99,70,65,1.01
378,Qaqortoq,GL,60.72,-46.03,53.6,32,75,16.11
379,Bay,US,43.73,-84.02,31.87,86,1,7.54
380,Lavrentiya,RU,65.58,-171.0,38.8,93,100,27.69
381,Liverpool,GB,53.41,-2.98,55.18,71,40,6.93
382,Bonthe,SL,7.53,-12.51,84.97,69,92,6.82
383,Aljezur,PT,37.32,-8.8,64.99,69,76,3.0
384,Khāsh,IR,28.22,61.22,70.54,17,0,15.28
385,Matagami,CA,49.75,-77.63,28.4,92,75,4.7
386,Abaza,RU,52.66,90.09,39.94,87,100,4.14
387,Barra,BR,-11.09,-43.14,89.65,31,0,10.49
388,Iquique,CL,-20.22,-70.14,60.8,72,99,9.17
389,Ngunguru,NZ,-35.62,174.5,54.0,88,29,5.59
390,Machalí,CL,-34.18,-70.67,63.43,69,38,2.55
391,Auki,SB,-8.77,160.7,77.9,83,47,3.76
392,Hernani,ES,43.27,-1.98,58.15,58,40,5.82
393,Kautokeino,NO,69.01,23.04,36.23,82,96,6.71
394,Chu,KZ,43.6,73.76,66.33,26,0,11.25
395,Erdaojiang,CN,41.78,126.03,39.15,69,0,0.94
396,Acapulco de Juárez,MX,16.86,-99.89,78.8,83,75,2.24
397,Korla,CN,41.76,86.15,53.76,38,0,4.81
398,Sørland,NO,67.67,12.69,44.6,87,75,11.41
399,Murindó,CO,6.98,-76.75,75.85,94,83,0.31
400,Kiama,AU,-34.68,150.87,59.36,86,100,1.5
401,Ubari,LY,26.59,12.78,101.46,8,0,19.53
402,Nakasongola,UG,1.31,32.46,80.24,63,22,0.78
403,Uglekamensk,RU,43.22,133.23,42.44,85,67,2.19
404,Kyren,RU,51.68,102.14,37.67,83,99,5.03
405,Rocha,UY,-34.48,-54.33,64.99,75,65,8.88
406,Karīmnagar,IN,18.43,79.15,82.33,74,37,2.73
407,Devonport,AU,-41.17,146.35,45.95,82,28,11.27
408,Belyy,RU,55.84,32.94,44.44,66,80,7.7
409,Busko-Zdrój,PL,50.47,20.72,45.72,87,100,5.99
410,Kerman,IR,30.28,57.08,71.6,6,0,6.93
411,Port,CD,-7.03,29.76,85.48,38,3,4.52
412,Sampit,ID,-2.53,112.95,76.08,94,100,3.53
413,Coolidge,US,32.98,-111.52,68.63,29,1,5.46
414,Muli,MV,2.92,73.57,82.56,78,100,20.89
415,Hambantota,LK,6.12,81.12,84.2,79,90,10.29
416,Itoman,JP,26.12,127.67,79.0,61,75,9.17
417,Vila,PT,42.03,-8.16,61.0,53,29,5.99
418,Paraíso,CR,9.84,-83.87,64.81,88,36,5.82
419,Parchim,DE,53.43,11.85,52.97,72,57,8.46
420,Gospić,HR,44.55,15.37,60.8,63,40,2.24
421,Beringovskiy,RU,63.05,179.32,39.24,82,35,10.45
422,Najrān,SA,17.49,44.13,86.0,15,0,6.93
423,Mount Abu,IN,24.6,72.7,78.87,64,81,5.32
424,Copiapó,CL,-27.37,-70.33,53.6,87,90,3.36
425,Ilanskiy,RU,56.24,96.06,30.16,94,49,6.89
426,Yangi Marg`ilon,UZ,40.43,71.72,68.0,34,0,4.7
427,Ixtapa,MX,20.7,-105.2,80.89,94,75,3.36
428,Lhokseumawe,ID,5.18,97.15,81.66,79,66,2.59
429,Jakar,BT,27.55,90.75,52.65,74,48,0.29
430,Chincha,GH,10.84,-1.92,93.0,46,28,3.33
431,Dunedin,NZ,-45.87,170.5,44.55,85,97,6.85
432,Bereket,TM,39.24,55.52,76.6,16,0,10.18
433,Guiyang,CN,26.58,106.72,53.6,93,90,6.71
434,Tual,ID,-5.67,132.75,82.78,80,36,15.35
435,CAM,AR,-38.98,-67.82,75.2,33,0,6.93
436,West,US,31.8,-97.09,57.83,51,40,6.93
437,Norwich,GB,52.63,1.3,56.07,66,75,8.05
438,Mariehamn,AX,60.1,19.93,44.6,93,90,4.7
439,Kentau,KZ,43.52,68.51,65.35,26,0,15.7
440,Khani,GE,41.96,42.96,84.2,37,0,3.36
441,Goldsboro,US,35.38,-77.99,67.44,100,75,5.84
442,Saint-Pierre,RE,-21.34,55.48,71.87,61,20,6.93
